Long,Lat,FID,EVENTSTA,eventend,SIMULATI,SIMULAT1,UNIQUEAS,assetid,NETWORKM,ASSETNAM,TREATMEN,ESTIMATE,OSISERVI,STRUCTUR,INTERIOR,SERVICES,OSI,SUBSTRUC,SUPESTRU,ROOFCOND,FITTINGS,FLOORCON,HYDRAULI,MECHANIC,FIRECOND,ELECTRIC,SECURITY,SITESERV,EXTERNAL
116.004081004766,-31.9957543635136,"0","1577836800000","1609372800000","0","2020",BD_5015-01,BD_5015-01,"55915",BD_5015-01 - Darling Range Pony Club - Shed, ,0,0,3,2,2,2,2,3,3,3,1,3,2,1,1,1,1,3
116.071029106945,-31.9920666283194,"1","1577836800000","1609372800000","0","2020",BD_5016-04,BD_5016-04,"193597",BD_5016-04 - Depot buildings - Muster Room, ,0,0,4,4,4,4,5,3,3,5,3,3,4,5,3,5,3,3
116.071660983429,-31.9920427893417,"2","1577836800000","1609372800000","0","2020",BD_5016-26,BD_5016-26,"42446",BD_5016-26 - Depot buildings - Maintenance Store, ,0,0,4,5,4,4,4,3,4,5,4,3,3,3,5,4,4,5
116.070910486254,-31.9923635720752,"3","1577836800000","1609372800000","0","2020",BD_5016-24,BD_5016-24,"670534",BD_5016-24 - Depot buildings - Workshop, ,0,0,4,4,4,4,3,5,5,4,4,5,4,3,5,4,4,5
116.081568339434,-32.003223940573,"4","1577836800000","1609372800000","0","2020",BD_5054-07,BD_5054-07,"97757",BD_5054-07 - Kalamunda Pistol Club - Toilets, ,0,0,3,3,3,3,3,2,3,2,4,2,3,3,4,4,3,4
116.075589134082,-32.0010594641068,"5","1577836800000","1609372800000","0","2020",BD_5103-00,BD_5103-00,"350150",BD_5103-00 - Walliston Hall - (Walliston Hall), ,0,0,5,5,6,5,6,4,5,4,5,4,6,6,6,4,5,4
116.073750623943,-31.9984128442011,"6","1577836800000","1609372800000","0","2020",BD_5105-00,BD_5105-00,"367268",BD_5105-00 - Grove Road Centre - (Walliston Pre-School), ,0,0,3,3,3,3,2,2,4,2,3,4,2,3,2,4,2,3
116.070683805437,-31.9924659972102,"7","1577836800000","1609372800000","0","2020",BD_5016-08,BD_5016-08,"33049",BD_5016-08 - Depot buildings - Bin Store and Shelter, ,0,0,4,5,4,4,5,3,4,5,4,5,3,5,4,4,5,3
116.085004391876,-32.0182115611242,"8","1577836800000","1609372800000","0","2020",BD_5011-00,BD_5011-00,"56571",BD_5011-00 - Carmel School (SCOUTS) - (School Hall), ,0,0,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6
116.081899230692,-32.0028877123602,"9","1577836800000","1609372800000","0","2020",BD_5054-04,BD_5054-04,"51817",BD_5054-04 - Kalamunda Pistol Club - Range 1 Shelter, ,0,0,4,3,3,3,3,4,4,3,2,4,3,2,3,3,2,3
116.071398094046,-31.9920544998187,"10","1577836800000","1609372800000","0","2020",BD_5016-25,BD_5016-25,"95505",BD_5016-25 - Depot buildings - Tractor Shed, ,0,0,4,5,4,4,5,3,3,5,4,5,4,3,4,4,3,4
116.090542206374,-32.0194630772152,"11","1577836800000","1609372800000","0","2020",BD_5010-00,BD_5010-00,"389971",BD_5010-00 - Carmel Hall - Carmel Hall, ,0,0,5,5,3,4,5,4,5,5,5,3,3,4,3,3,3,3
